id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
163721192,flink-learning,zhisheng17/flink-learning,False,zhisheng17,User,https://github.com/zhisheng17/flink-learning,flink learning blog. http://www.54tianzhisheng.cn/  含 Flink 入门、概念、原理、实战、性能调优、源码解析等内容。涉及 Flink Connector、Metrics、Library、DataStream API、Table API & SQL 等内容的学习案例，还有 Flink 落地应用的大型项目案例（PVUV、日志存储、百亿数据实时去重、监控告警）分享。欢迎大家支持我的专栏《大数据实时计算引擎 Flink 实战与性能优化》,False,2019-01-01T07:38:28Z,2025-10-29T12:41:20Z,2025-03-12T03:53:35Z,http://www.54tianzhisheng.cn/tags/Flink/,43620,14957,14957,Java,3958,1,master,"clickhouse,elasticsearch,flink,hbase,influxdb,kafka,loki,mysql,opentsdb,rabbitmq,redis,rocketmq,spark,stream-processing,streaming",public,apache-2.0
62117812,pulsar,apache/pulsar,False,apache,Organization,https://github.com/apache/pulsar,Apache Pulsar - distributed pub-sub messaging system,False,2016-06-28T07:00:03Z,2025-10-29T12:29:15Z,2025-10-29T12:29:10Z,https://pulsar.apache.org/,250228,14932,14932,Java,3685,1627,master,"event-streaming,messaging,pubsub,pulsar,queuing,streaming",public,apache-2.0
32844456,jd-gui,java-decompiler/jd-gui,False,java-decompiler,Organization,https://github.com/java-decompiler/jd-gui,A standalone Java Decompiler GUI,False,2015-03-25T05:28:41Z,2025-10-29T14:03:24Z,2024-07-08T18:45:59Z,,56989,14831,14831,Java,2464,243,master,,public,gpl-3.0
1090311,logstash,elastic/logstash,False,elastic,Organization,https://github.com/elastic/logstash,"Logstash - transport and process your logs, events, or other data",False,2010-11-18T01:31:50Z,2025-10-29T09:53:21Z,2025-10-29T11:25:33Z,https://www.elastic.co/products/logstash,132463,14689,14689,Java,3518,2220,main,"etl-framework,java,jruby,logging,real-time-processing,streaming",public,other
231921809,supertokens-core,supertokens/supertokens-core,False,supertokens,Organization,https://github.com/supertokens/supertokens-core,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,False,2020-01-05T13:30:52Z,2025-10-29T05:12:46Z,2025-10-29T10:57:54Z,https://supertokens.com,149628,14658,14658,Java,628,147,master,"auth0,authentication,aws-cognito,email-password,email-password-login,firebase-auth,hacktoberfest,java,keycloak,login,oauth,password,passwordless,passwordless-authentication,passwordless-login,session-management,signin,social-login,supertokens",public,other
1911523,vert.x,eclipse-vertx/vert.x,False,eclipse-vertx,Organization,https://github.com/eclipse-vertx/vert.x,Vert.x is a tool-kit for building reactive applications on the JVM,False,2011-06-17T14:54:55Z,2025-10-29T10:04:53Z,2025-10-29T10:31:37Z,http://vertx.io,122843,14589,14589,Java,2101,209,master,"concurrency,event-loop,high-performance,http2,java,jvm,netty,nio,non-blocking,reactive,vertx",public,other
16005410,CircleImageView,hdodenhof/CircleImageView,False,hdodenhof,User,https://github.com/hdodenhof/CircleImageView,A circular ImageView for Android,False,2014-01-17T16:44:46Z,2025-10-26T21:33:18Z,2024-05-03T11:20:49Z,,1003,14533,14533,Java,3114,7,master,"android,imageview,widget",public,apache-2.0
99919302,doris,apache/doris,False,apache,Organization,https://github.com/apache/doris,"Apache Doris is an easy-to-use, high performance and unified analytics database.",False,2017-08-10T12:13:30Z,2025-10-29T14:12:34Z,2025-10-29T14:13:50Z,https://doris.apache.org,1164054,14521,14521,Java,3586,815,master,"agent,ai,bigquery,database,dbt,delta-lake,elt,hudi,iceberg,lakehouse,olap,paimon,query-engine,real-time,redshift,snowflake,spark,sql",public,apache-2.0
88970564,QMUI_Android,Tencent/QMUI_Android,False,Tencent,Organization,https://github.com/Tencent/QMUI_Android,提高 Android UI 开发效率的 UI 库,False,2017-04-21T10:03:18Z,2025-10-29T06:58:52Z,2024-11-05T06:18:02Z,http://qmuiteam.com/android,21963,14511,14511,Java,2679,428,master,"android,android-ui,ui-components",public,other
76413186,ARouter,alibaba/ARouter,False,alibaba,Organization,https://github.com/alibaba/ARouter,💪 A framework for assisting in the renovation of Android componentization (帮助 Android App 进行组件化改造的路由框架),False,2016-12-14T01:27:49Z,2025-10-29T09:08:28Z,2023-09-11T06:07:41Z,,26589,14498,14498,Java,2613,136,develop,"android,componentization,dependency-injection,interceptor,navigation,router",public,apache-2.0
