rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
64,Anuken/Mindustry,24817,3179,Java,The automation tower defense RTS,https://github.com/Anuken/Mindustry,,,
65,greenrobot/EventBus,24764,4671,Java,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",https://github.com/greenrobot/EventBus,,,
66,bazelbuild/bazel,24565,4293,Java,"a fast, scalable, multi-language and extensible build system",https://github.com/bazelbuild/bazel,,,
67,apache/skywalking,24524,6616,Java,"APM, Application Performance Monitoring System",https://github.com/apache/skywalking,,,
68,yuliskov/SmartTube,24505,1317,Java,Browse media content with your own rules on Android TV,https://github.com/yuliskov/SmartTube,,,
69,jenkinsci/jenkins,24441,9140,Java,Jenkins automation server,https://github.com/jenkinsci/jenkins,,,
70,Netflix/Hystrix,24400,4718,Java,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",https://github.com/Netflix/Hystrix,,,
71,libgdx/libgdx,24349,6509,Java,Desktop/Android/HTML5/iOS Java game development framework,https://github.com/libgdx/libgdx,,,
72,CodePhiliaX/Chat2DB,24263,2636,Java,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",https://github.com/CodePhiliaX/Chat2DB,,,
73,google/gson,24049,4349,Java,A Java serialization/deserialization library to convert Java Objects into JSON and back,https://github.com/google/gson,,,
74,redisson/redisson,24033,5478,Java,"Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..",https://github.com/redisson/redisson,,,
75,doocs/source-code-hunter,22965,4220,Java,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,https://github.com/doocs/source-code-hunter,,,
76,iBotPeaches/Apktool,22912,3808,Java,A tool for reverse engineering Android apk files,https://github.com/iBotPeaches/Apktool,,,
